	sender	me
566	thelw xarh esy pou xereis na milas	pes
568	na pareis thl kentro ygeias na matheis gia moroiako tzampa stratiwths	mlk
572	ti ekana	einai paraskeuh apogeuma
574	gt aurio den kanoun 	to moriako dn bgainei kateutheian
577	re tha me to steiloun me email thn deutera to prwi deutera petaw trele pwwww	thelei pcr
582	gamw kanonisa pali kala	wraios
585	kai ena teleutaio trena thessalonikh athhna	se kamia wra tha shkwthw
589	wraios des trena me gamhse you missed a call from vasilis . you missed a call from vasilis . vasilis called you .	ti tha kanoume
599	 	kanenas allos aderfos sou dn thelei na erhtei ?
601	e sigoura kaseris ti wra tha ertheis na me pareis you missed a call from vasilis . you missed a call from vasilis . vasilis called you . xekinhses 	perimenw lazaro twra
608	nai mh trexw you missed a call from vasilis . steile mou netflix	mpes sto zwgia
612	den mpainei kala einai ligo xylo omorfa oxi r perasan kai kala ta dyskola	mia xara
0	o mpoufos o kaserhs den to shkwnei	ompoo
4	nai logika pio arga tha bgoun ela mpanio ekane pame na ton paroume you missed a call from giwrgos . ee	ela
11	paizei se kamia wra na mporoume na pame se esena katw	nai
14	komple ela apo emena twra se poso tha eisai edw 	se 
17	ti wra tha pame katw milhses me thn aderfh sou 	twra tha thn rwthsw
20	exei giorth kai h psw syrma pame kata tis 	 feugoume
24	komple kai pio nwris an thes den exw thema	k egw pio nwris thelw alla prepei na pame thn zwh sthn sindo
31	nai re pame kai blepoume tha pame na paroume kaparo 	h mana mou tha mou ferei to amaksi para 
36	ara prepei na erthei o allos edw kai na fygoume kateutheian	nai
41	perimenw na me pei o kaserhs gia na pame se auton	aa
45	me eipe eixe kati douleies	mpainovgainei se huntai citroen kai mercedes
47	se ligo erxetai o kr	pou
49	edw xwrio na paroume kafe kana mpoukali ap thn kaba klp kai na fygoume kateutheian	paroume ap to kentro mpoukali h apo sindo
57	pou na to brw re den paw twra pisw sthn apothhkh na psaxnw	leei na tis pame ena katsavidi
60	xerw me eipan	ti karioles pou einai
62	giwrgos called you .	kafe
64	pame ston kaseri 	pame
66	perimene na etoimastw	steile otan eisai
68	giwrgos called you .	you called giwrgos .
71	pame gia kafe	kerkida ?
73	oi alloi einai trito	pame
75	kerkida lene den htan kala komple egw etoimazomai	ma rthw na se parw
78	nai etoimos eimai	erxomai
81	pou re 	spiti egw
83	den tha bgeis 	se kamia wra
85	kanenas den einai exw 	plateia htan prin mia wra
88	kala otan einai na bgeis steile na bgoume mazi	egine
91	ela kai apo mena	eisai etoimos ?
93	nai	erxomai
95	eeee	tha thn afhsw sto lazaro
97	auto xronia polla antwnhhhhh 	fav messages 
101	xrhstidhs etsi k alliws tha arghseis mwrh 	you called giwrgos .
104	pshnesai na pame cash and carry na paroume pragmatakia gia to brady 	exei h mana mou mathima idiaitero kai phre to amaksi
107	entaxei prolabainoume	pame ekeinh thn wra nai
109	 leei kleinei bazei o lazaros leei gia katw pame pio nwris an einai 	komple
115	etoimos 	oxi
117	se poso 	 
120	pare thl amalia na pame na pioume kana tsigaro s autes kai gyrname pali	 thelei na ferw to amaksi pisw
124	nai re kai pio nwris tha fygoume na mhn katsoume	tha th steilw
129	paizei nai kapoios apo emas exei xexasei ena panw se emena	a mpravo
133	xekina	kateva
135	giwrgos called you . ela k apo emena	etoimos eisai ?
138	nai	xekinaw
141	giwrgos called you .	e dn exw amaxi
147	you missed a call from giwrgos . ela na me pareis re	apo pou re
151	giannh ela re	r exw to amaxi se sena
155	kai gw thelw na piw	bariemai
157	pes kapoion ontws den mporw na fygw	erxetai o marios
161	mono na erthei kapoios syrma	erxetai o marios
165	giwrgos called you . brhkes kamia maska sto amaxi sou 	tha pw trelo
168	giwrgos called you . pou eiste 	patra eimai egw r
171	ompooo lamanif den mporw na synelthw den xerw se kapoia fash esbhsa	ahahha
181	xaxaxaxaxaxxaa phges kleisto ti wra tha bgeis 	se ligo
185	komple ela apo emena otan einai eee exw ta gyalia mou katw se esena shmera tha pame katw alliws thhlia	nai me esteile o kr na kanoume klika
191	akoma enas tote tha pw stelio ti wra se poso eisai etoimos 	se 
204	komple etoimos eisai xekina ante bre malaka katw eimai	vsk oute se mia
211	eo	e yo
213	ti wra tha xekinhseis 	twra tha faw
216	komple	ti wra tha pan oi alloi
218	pou xerw krybontai kaserhs karakobas einai stantar exw	nai r sigoura
222	pou re 	spiti eimai egw
224	les na pame katw stis alles 	pame
226	mila me amalia an einai basika gamhse to	akuro nai 
229	ela na katsoume edw pou hrthe k o allos	e nai
232	giwrgos called you .	e
235	xmmmmm kalo ti exeis sto myalo sou 	dn kserw
241	poies 	kamia retsina
245	den exw thema kai meta na pame se kamia amalia na araxoume	nai
251	nai re	kai mpatsous
253	den exei astynomia milhses me kanenan 	oxi
257	an den thelei kaneis pame dyo mas kai oi alles to poly poly anti gia retsina pame se kamia amalia na araxoume mono	nai
261	 sxolasa spiti eimai	a
265	gyrisan nomizw	a ok
268	you missed a call from giwrgos .	 
270	komple de mpar eimai giwrgos called you . pes thn manas oti gyrisame twra giati eixe apagoreush 	nai r auto thn eipa
275	den se pairnei o ypnos 	me tipota
277	kai egw re araxa ebala tainia me trelo ton eipa na dei tainia blepoume thn idia 	ahahah
282	bale kai esy 	poia
284	this boys life me nteniro kai ntikaprio poly palia alla prepei na einai top	tha thn ksekinisw
289	eixa dei treiler kai kapoia apospasmata pou me eixe bgalei krataei pti prepei	syrma
293	tou einai alla apo auta pou eida prepei na einai poly kalh	efyge k h mana m gia to sxoleio twra
296	malaka den antexa hpia autes tis dyo pou me edwse prin ligo	ompooo
299	xaxaxaxaxa kai emena tha xypnhsei twra na shkwsei thn aderfh mou ti na kanw re to koitousa pou htan ligo mhn fantasteis poly psema tzampa tha to ekana aurio an to kratousa	seri tha pas douleia 
306	 giatro tha paw seri pes mia wra na kanw ekei tha koimhthw ligo mexri tis kai meta douleia klain main den tha exei kosmo aurio an exei foul kosmo thhleia tha katarreusw tha pw ton gkregk na me kanei gia na meinw orthios se tsouzei katholou h myth arxika monos eisai spiti 	e oxi poly
316	mexri ti wra na erthw gia kana kafe prin paw odontiatro	axaxax
322	ompoo na erxomoun xerw gw les na skasei alla kai na skasei klain	tha koimhthw
327	kala nai den ga antexeis	nai r
329	kala kai emena tha me parei o ypnos stantar se kamia wra den ginetai tha bretheis shmera h tha kanoume kana team gia kokonat ?	tha vrethw
333	eo kafe tha pioume 	as vgoume kateutheian pio arga
337	den pisteuw na thelei kaneis gia poto to brady fragko den exoun twra milhsa me zanh kai me eipe gia kafe	einai kanenas me amaksi na mas mazepsei
342	den xerw katse na dw ton gero an tha bgei bradaki tha bgei k autos	leei na pame to vrady kamia agia sofia
348	nai kalh fash pame kana de mpar twra tha erthw na se parw egw	xwris sunexeia sthn amalia
353	kai meta tha parw kai ton zanh oxi re ti synexeia	perimene dn eimai etoimos
357	nai re oute egw tha bgeis bradaki 	eisai xwrio ?
360	se kamia wra tha eimai pisw	kanonizw ouzo sto kentro
363	 exw mitingk	mexri ti wra
365	gia ti wra les 	ekeinh thn wra elega
368	 to poly to poly poly den paw	a ginete auto ?
371	ola ta mporw	baggelhs leei tha erthei
375	basika mporw na paw kai na fygw 	eimaste ada
378	kane tha fygoume prepei na paw na tous pw k oti tha fygw	oti tha fygeis ap to magazi 
382	nai pou tha kleiseis 	prospathw ma thymhthw
386	miso auta kai h kamana se eixe pei kritiko nomizw kai khpoi tou pasa khpous tou pasa pare prwta	dn legotan etsi
395	ladadika pshnesai 	nai
401	pata kai tha se bgalei pyte egw xerw ena pou se eipe h kamana konta sta ladadika den htan 	to krhtikos
406	to krhtiko kafeneio legetai louloudadika	tlk ti wra na tous pw
412	pame 	a dn tha pas
416	e oxi na pa na gamhthei	krhtiko kafeneio akyro
421	les pame mpit mpazar to poly poly	thelw kanena pio zwhro
424	tzampa pragma	oxi mpit
429	to giasemi nekra psaxe ladadika pou eisai 	se xekinaw
433	 prepei na eimaste sto magazi re	tous eipa
437	komple tote malakaaaa basanizomai tha pame katw na afhsw kati xartia sthn sxolh kai na pioume kafe olympion sthn psw me amalia 	exw douleia to apogeuma r dn tha bgw
441	kala nai oute egw exw kouragio mexri aurio tha koimamai ti wra xekinaei h amaxa 	as vgoume emeis 
445	egw de mpar eimai pinw kafe	opa
450	komple komple otan eisai etoimos pes egw eimai de mpar o sabbas mpota	nai
457	pou eisai re 	ston antwnh
459	giati den bghke kanenas 	e egw o baggelhs k o kaseris eimastan
461	o kaserhs mazi mou htan xenerwsa hthela na katsw spiti eisai 	nai
465	pame kana kokonat	egw diavasma r tha vgw pio arga
467	ti wra 	e 
469	ee eimai me zanh ti tha kanoume 	twra eimai gym egw
474	erxetai o zanhs apo edw	douleueis esy 
476	oxi re	se bgainw
479	kata ti wra lete gia katw 	 na fygoume kserw gw
481	egw paw me kaserh gia kafe twra ela ap to de mpar otan einai na fygoume	ok
484	telika kolompia 	kaserhs tha rthei ?
486	den xerw	e pros ta ekei nai
489	oxi eee akous tha kanoume tipota h mpaimakh 	gia katw leme emeis
493	poioi 	marios zania maik
495	gia pou wpaaa	etoimasou
498	den tha rthw na me meinei kana fragko	mpaimakh ola tzampa ?
500	den paw apo twra me tipota oute mpoukali den tha parw gia ekei pshnesai esy to brady gia pitsa xalara 	tha vrethw to vrady
505	ela gamhsou aurio phgaine aurio feugw	th pathsa akuro xthes k exw na paw ap th tetarth dn ginete k apopse
511	 	e ontws pame na pioume kafe se kamia wra
513	wraia katse na pw kai kana zanh	wraia mpainw k egw gia mpanio
516	twra xypnhse ton eipa se kana misawro	wraia
519	ti wra tha bretheis esy 	 tha fygw
522	entaxei tha eisai se etoimos 	etoimos
525	e na se pw paizei na parw mpoulo apo edw mporei kai shmera an mporesw na fygw shmera tha pareis akoma enan na erthete na me parete 	nai
531	wraia tha se pw	malwses 
533	oxi re ti wra se boleuei 	na xekinhsw na eimai ekei 
537	na xekinhseis mexri na kanw ta pragmata en tw metaxy den me to shkwnei o dieuthynths alla ton esteila mnm oti exw ena thema oikogeneiako kai prepei na fygw oso pio grhgora ginetai	exei orio sto amaxi 
543	ti pragma 	atoma
547	oxi re	ok
549	esy kai alloi dyo	wraia
551	tha yon parw xana ton blaka an den yo shkwsei poutsa mou den kathomai sthn troglh file	a gia to spiti thes na fygeis 
555	re asto tha se pw apo konta xekina etoimos eimai	komple
561	oxi re pame opou einai xekinhsate 	molis
565	o allos o mpastardos o kaserhs me eipe sta diodia shkw na pame gia kafe se tha paw na parw zanh	r exw diavasma
569	den tha bgeis katholou 	vsk tha vgw twra
574	e nai etsi k alliws den tha bgei kanenas gia brady tha parw zanh tha ton paw kai tha se parw	egine
579	aurio tha pame katw fia tsipouro pou exw repo kai exei k o zanhs	teleia
583	aurio gia kalamaria gialo eimaste	egw lew kentro pio alhteia
586	kapou kala	nai
588	oxi rok in	tha to doume aurio
592	mhn me peis aurio tha paw me thn gkomena	oxi r
594	exw phxei sth . douleia malaka thelei kanenas allos gia shmera 	kanas mike ama einai mono
598	komple an einai pame me tis pornes	me vaggelh milhses ?
600	katse na ton steilw logika koimatai	eipa th psw
604	komple	thes ?
606	nai re	wraia steile thn amalia
608	ti wra na thn pw 	 tha eimaste kentro
610	komple	milhsa me th psw tha kanei krathsh kai mporoun na pane autes sth krathsh
613	nai teleia teleia mporei na erthei kai mauros alla den mporei na katsei mexri poly arga den tha katsoume mexri xhmerwma mhpws na xekinhsoume bariemai na perimenw	nai
622	oute kan tha koimatai stantar you missed a call from giwrgos . giwrgos called you .	tha erthei
626	se poso xekinas 	 
629	ante breeee	etoimos eimai th mana mou perimenw na ferei t amaxi
631	komple pes otan einai na to afhsei kai o mauros	nai
637	parton thl pes ton oti to kanonisame teleutaia stigmh an se pei tipota xaxaxaxaxa	xekinaw
641	trith shmera	me eipe o vaggelhs k o tsoulhs na pame sto litoxwro
643	kalo kalo	goustareis ?
645	se poion nai re oti einai	ston tsoulh
649	nai alla mhn pame arga	ti wra douleueis aurio
651	 	gt leme na kanoume kai mpanio aurio
653	entaxei an gyrisoume eimai komple	teleia
655	ti wra tha xekinhsoume	twra ton esteila
660	an pei kana tetoio exoume fygei banilia den nomizw omws na douleuei eipate kai amalia lege re ti wra tha pame	dn xerw dn me apanthse akoma
668	giwrgos called you . xypnamai k emena otan einai spitia oloi 	twra gyrname xwrio
672	 e pes mou ligo poso tou mhnos tha pame diakopes prepei na pw gia adeia	 
676	ti kanete 	pswnizoun ta paidia
678	apo pou re poioi kanoun 	kaserhs mauros karako
682	spitia oi alloi 	nai k egw spit
694	pote erxesai 	savvato vrady
696	tha kanoume tipota h 	tlk gurnaw
699	pou pate rei 	aurio repareis ?
701	bebaiws	wraia
703	pou tha pame arga eixa paei den eixe poly kosmo ekeinh thn wra	a htan xalara
708	alla sigoura exei poly kosmo	psofaw gia kana vanilla
710	banilla leei foul	alla poios tha akolouthhsei
712	opoios einai to poly poly leme kai tis alles apo katw	e nai
715	kai kala einai na kanoume mia krathsh aurio meshmeri	e nai tha kanoume
718	poion re to poly kanas geros h zanhs na erthoun 	e nai autous
721	nai re tha bgei o tsoulhs banilia 	me th lakers tha skasei
727	komple ektos k an theloun fai oi alloi pame gia fai na paei na gamhthei paraskeuh sabbato repo exw pame kai tote	wraia
735	kokonat	tha tous pame sto banila
744	nai re gamaei ti na skeftei breeee	nai r mlk
747	re malaka	les kai ton eipa na fygoume dihmero
749	estw mia retsina kati	o tsanhs eipe tha rthei
757	pou eis 	gym
762	pwwww giwrgos called you . kanoniste mhn xasete tipota sas gamhsa aurio tha zhthsw repo sk pshse ethnik	tha leipw to sk
768	 giwrgos called you . giwrgos called you . giwrgos called you . psofaei	esu perases me to mhxanaki
774	nai re asto ekana top aragma	logika leka
778	hrthe rekkas ap to de mpar na xairethsei autos feugei aurio gia douleia xalkidikh kai kaname ena teleutaio aragma kastra top	oooo
783	oti kalytero exw kanei aragma sousou kai piato polh	lege r
787	oxi den eixe poly kosmo ekei pou phgame htan poly kabatza	aa dn einai ekei pou pan oloi auto
790	ligo pio katw	e
794	to espreso logika nai	h kapoio na kanei kafe
797	esy ti kaneis feugeis 	nai
802	tyrannia	egw koimhthei dyo wres
807	traba espreso paizei na anoigei	einai oi alloi the bar
811	den xerw paizei na einai oloi spitia	sto mpota einai
814	les na pame gia kamia pitsa to brady 	nai
816	alla mono sindo edw o koukoubios einai kleistos	nai
820	milhsa me trelo	e maik tha erthei sigoura
822	kai psw me poph mporei me rwthse ti tha kanoume pame twra gia ena kafe	kentro einai oi kyries 
828	oxi edw	nai r se ligo feugw
831	tha ertheis gia mpanio paw twra me psw kai poph	exw kanonisei me ioanna
834	me ta mporoume na plhrwsoume thn diamonh xerw gw pou tha pame diakopes 	nai
839	komple ti wra tha gyrisete se kana misawro sxolaw egw	dn xeroume alla dn eimaste kai gia poly arga
843	nai tha katsete katw h tha rtheite xwrio na xerw an einai na paw spit	dn eimaste
848	ela	o mauros se epine
851	amannn spit paw egw	to kalytero
854	oi alloi fortsaroun pane gia prwtathlhma ston mauro 	stelios karakobas
860	esena poso kairo ekanan na se steiloun ta giati to ekana xthes	 
865	komple	popcorn exei ?
868	tha kanoume kyria egw esy k mauros thelei autos alla opws se eipa na bgoume einai to thema	kaseris karakovas tha kanoun ?
873	poios xerei mporei na exoun kanei kiolas afpy den milane tous kobeis na einai adeioi 	prepei na kanoume ap to xwrio 
878	as kanoume apo edw autoi mporei na exoun isa isa apo edw	nai pshnw na kanoume
882	nai re ennoeitai den tha exei nohma alliws ena brady kai kalo	wraia nai
887	komple	les na thelei kai kanas zanis 
889	oute kan an thelei tha ton dwsoume ekei	wraia nai
895	nai egw tha kanw kai negkroni mpoukalaki ap to magazi k o zanhs tha parei k o tsoulhs palomes tha paroume kai kana tzin gia ekei kai prepei na broume kana aegean na paroume	posa mpoukalakia
905	negkroni 	nai
907	wraia egw kai zanhs tha paroume apo basika re file	gt na mh ta kanoume monoi mas
913	katse na dw an symferei des an pareis kai esy to mpoukalaki bgazei pota pes mpoukalakia pota 	me pairnoume tzin kai kampari
921	kapou sta tha mas bgoun ta mpoukalia	bsk oxi
923	theloume ena tzin ena kampari kai ena bermout	wraia na vrethoume to apogeuma
926	oxi alla prepei na paw na ta kanw basika an den paroume emeis exw palomes gia ton tsoulh	opote tha pas etsi k alliws
932	mpoukalia tha paroume eipa kai zanh kalytera etsi	nai
939	nai ela na me pareis	nai
942	pare lefta na paroume ap thn kaba tzin kai kampari tha ta baloume edw	exei ston skla
946	komple apo skla tha pame	sle
952	nai alla aurio tha to baloume einai mes thn apothhkh kai den exw kleidia	ok
955	tha xwresei to kareklaki 	nai
958	se ligo	the feeling massano
960	the video chat ended .	spiti diavazw
968	okeu den exeis amaxi 	oxi
971	komple	thelei na paei mastora
974	opote erxomai apo esena kai meta prepei na parw k amalia	se poso
977	h pes thn na xekinhsei twra me ta podia kai se erxomai apo esena	ok
980	kateba	nai
989	den hrtha na to parw kan meta otan einai na pame gia kafe	thelw na diavasw to apogeuma tha vgw pioa arga
992	egw eimai 	wraia
994	ela skase psarwsa meta to phra xampari	ahahahah
998	den yparxei laos na xereis kanas maik na thelei mono	isxuei
1002	kai kanas trelos an exei repo	h psw exei
1006	kala nai ti na thn kanoume kai thn psw pali monh barethhka	to ebgale olo to zoumi
1011	stegnwse zoumi exei poph mhtsakos twra	ahaha
1015	o allos leei den thelei katw des kai gw tha brethw opote ela na pioume edw ena kafe me kaserh exeis sthn karta na steileis thn psw na se dwsw metrhta 	nai
1021	wraia	ta thelei twra ?
1023	steile mia twra na mhn me prizei kai tis mpales kai tha se steilw na erthei ap to de mpar na se dwsw	egine
